task,_C,_L,_N,trial,sequence,choices,response,binaryResponse,responseCorrect,truthful,domain,response_type,reaction_time,id,accimp,age,gender,conservatism,ct,Exciting_Democrats_Combined,Exciting_Republicans_Combined,Familiarity_Democrats_Combined,Familiarity_Republicans_Combined,Importance_Democrats_Combined,Importance_Republicans_Combined,Likelihood_Democrats_Combined,Likelihood_Republicans_Combined,Partisanship_All_Combined,Partisanship_All_Partisan,Partisanship_Democrats_Combined,Partisanship_Republicans_Combined,Sharing_Democrats_Combined,Sharing_Republicans_Combined,Worrying_Democrats_Combined,Worrying_Republicans_Combined,crt,panasPos,panasNeg,education
Fake16,0,1,0,14,15,Accept|Reject,Reject,0,1,0,misinformation,single-choice,4.48,6,4,38,1,1,1,2.48,2.26,2.2,2.37,4.27,3.66,2.16,1.81,2.06,0.95,2.15,1.97,2.99,2.38,3.68,3.15,1,24,24,4
Fake17,0,1,0,15,16,Accept|Reject,Reject,0,1,0,misinformation,single-choice,9.345,6,4,38,1,1,1,2.18,1.83,2.3,2.16,3.38,2.73,2.76,1.95,2.15,0.85,2.28,2.03,2.53,1.94,3.4,2.13,1,24,24,4
Fake18,0,1,0,16,17,Accept|Reject,Reject,0,1,0,misinformation,single-choice,8.29,6,4,38,1,1,1,2.88,2.55,2.31,2.45,3.79,3.37,3.26,2.95,2.03,0.97,1.83,2.24,2.62,2.79,2.79,2.61,1,24,24,4
Real1,0,0,1,17,18,Accept|Reject,Reject,0,0,1,misinformation,single-choice,11.341,6,4,38,1,1,1,2.59,2.72,2.7,2.91,3.79,4.13,4.83,5.57,3.63,0.63,3.46,3.8,2.66,3.14,2.94,3.59,1,24,24,4
Real2,0,0,1,18,19,Accept|Reject,Accept,1,1,1,misinformation,single-choice,7.367,6,4,38,1,1,1,2.43,2.56,2.44,2.48,3.76,3.83,5.08,5.49,3.44,0.44,3.31,3.57,2.62,2.78,3.03,2.61,1,24,24,4
Real3,0,0,1,19,20,Accept|Reject,Accept,1,1,1,misinformation,single-choice,29.604,6,4,38,1,1,1,2.36,2.81,2.58,2.73,2.97,3.54,5.13,5.66,3.68,0.68,3.52,3.85,2.04,3.19,2.44,2.54,1,24,24,4
Real4,0,0,1,20,21,Accept|Reject,Reject,0,0,1,misinformation,single-choice,8.22,6,4,38,1,1,1,2.34,1.92,2.28,2.27,3.41,3.19,4.29,4.73,3.66,0.66,3.54,3.78,2.29,2.32,2.46,2.32,1,24,24,4
Real5,1,0,0,21,22,Accept|Reject,Accept,1,1,1,misinformation,single-choice,18.058,6,4,38,1,1,1,2.02,2.94,2.54,2.67,2.86,3.56,5.08,5.7,4.24,1.24,4.04,4.44,2.06,3.06,2.74,1.66,1,24,24,4
Real6,0,0,1,22,23,Accept|Reject,Reject,0,0,1,misinformation,single-choice,10.899,6,4,38,1,1,1,1.79,2.19,2.35,2.42,2.61,3.13,4.36,4.41,3.8,0.8,3.8,3.81,1.92,2.4,2.01,1.77,1,24,24,4
Real7,0,0,1,23,24,Accept|Reject,Accept,1,1,1,misinformation,single-choice,8.868,6,4,38,1,1,1,2.3,2.07,2.41,2.37,3.17,2.99,4.96,4.88,3.48,0.48,3.44,3.53,2.27,2.19,2.26,2.09,1,24,24,4
Real8,1,0,0,24,25,Accept|Reject,Reject,0,0,1,misinformation,single-choice,6.25,6,4,38,1,1,1,2.44,3.07,2.39,2.69,3.37,3.89,3.58,5.23,4.04,1.04,3.82,4.25,2.14,3.29,1.64,1.7,1,24,24,4
Real9,0,0,1,25,26,Accept|Reject,Accept,1,1,1,misinformation,single-choice,5.516,6,4,38,1,1,1,2.76,3.48,2.88,2.86,4.09,4.29,4.05,5.51,3.76,0.76,3.61,3.91,2.57,3.29,2.2,1.69,1,24,24,4
Real10,0,0,1,26,27,Accept|Reject,Accept,1,1,1,misinformation,single-choice,6.349,6,4,38,1,1,1,2.49,2.16,2.49,2.32,3.39,3.12,5.11,4.73,2.52,0.49,2.47,2.57,2.75,2.28,2.86,2.18,1,24,24,4
Real11,0,0,1,27,28,Accept|Reject,Accept,1,1,1,misinformation,single-choice,8.472,6,4,38,1,1,1,2.11,1.83,2.56,2.36,2.72,2.35,5.32,4.45,2.23,0.78,2.16,2.29,2.48,2.16,1.95,1.63,1,24,24,4
Real12,0,1,0,28,29,Accept|Reject,Accept,1,1,1,misinformation,single-choice,4.314,6,4,38,1,1,1,2.42,2.22,2.73,2.58,3.92,3.47,5.36,4.22,2.14,0.86,2.18,2.11,2.93,2.1,3.09,2.57,1,24,24,4
Real13,0,1,0,29,30,Accept|Reject,Reject,0,0,1,misinformation,single-choice,7.292,6,4,38,1,1,1,2.45,1.99,2.57,2.16,3.47,2.79,5.05,3.55,2,1,1.93,2.08,2.71,1.92,2.91,1.96,1,24,24,4
Real14,0,0,1,30,31,Accept|Reject,Accept,1,1,1,misinformation,single-choice,3.27,6,4,38,1,1,1,2.72,2.27,2.99,2.9,4.17,3.71,5.84,5.16,2.32,0.69,2.24,2.39,2.75,2.26,3.6,2.61,1,24,24,4
Real15,0,0,1,31,32,Accept|Reject,Reject,0,0,1,misinformation,single-choice,8.683,6,4,38,1,1,1,2.24,1.96,2.38,2.31,3.1,2.72,4.6,4.19,2.38,0.62,2.35,2.42,2.63,2.06,2.68,2.01,1,24,24,4
Real16,0,0,1,32,33,Accept|Reject,Accept,1,1,1,misinformation,single-choice,5.327,6,4,38,1,1,1,2.35,1.99,2.68,2.34,3.47,2.84,5.66,3.86,2.57,0.44,2.7,2.43,2.28,1.93,2.66,1.99,1,24,24,4
Real17,0,1,0,33,34,Accept|Reject,Reject,0,0,1,misinformation,single-choice,8.262,6,4,38,1,1,1,2.93,2.35,2.68,2.34,3.89,3.59,5.48,4.49,1.99,1.01,2.06,1.92,3.24,2.29,3.77,3.23,1,24,24,4
Real18,0,1,0,34,35,Accept|Reject,Accept,1,1,1,misinformation,single-choice,13.09,6,4,38,1,1,1,2.79,1.87,2.53,2.41,3.37,2.45,4.9,3.98,2.15,0.85,2.03,2.28,2.67,1.93,2.58,1.72,1,24,24,4
Fake1,1,0,0,35,0,Accept|Reject,Reject,0,1,0,misinformation,single-choice,25.989,7,5,41,1,3,1,2.9,2.93,2.19,2.29,3.97,3.83,2,2.76,3.86,0.86,3.96,3.75,2.41,2.97,3.42,3.65,0.833333333333333,26,18,3
Fake2,1,0,0,36,1,Accept|Reject,Reject,0,1,0,misinformation,single-choice,11.617,7,5,41,1,3,1,2.35,2.48,2.28,2.27,2.64,2.92,1.99,2.25,4.03,1.03,3.9,4.16,1.96,2.52,2.53,2.26,0.833333333333333,26,18,3
Fake3,1,0,0,37,2,Accept|Reject,Reject,0,1,0,misinformation,single-choice,6.374,7,5,41,1,3,1,2.91,3,2.19,2.35,4.21,4.03,1.9,2.2,3.83,0.83,3.91,3.75,2.55,2.9,3.68,3.82,0.833333333333333,26,18,3
Fake4,1,0,0,38,3,Accept|Reject,Reject,0,1,0,misinformation,single-choice,14.45,7,5,41,1,3,1,2.1,2.98,2.13,2.41,2.84,3.43,2,2.93,4.05,1.05,4.04,4.06,1.81,2.85,2.28,2.07,0.833333333333333,26,18,3
Fake5,1,0,0,39,4,Accept|Reject,Reject,0,1,0,misinformation,single-choice,6.151,7,5,41,1,3,1,2.23,2.83,2.47,2.57,3.37,3.71,1.9,2.75,3.93,0.93,3.97,3.9,2.11,2.96,2.2,2.61,0.833333333333333,26,18,3
Fake6,0,0,1,40,5,Accept|Reject,Reject,0,1,0,misinformation,single-choice,6.558,7,5,41,1,3,1,2.54,2.45,2.27,2.31,4.11,4.23,1.57,1.88,3.76,0.76,3.69,3.84,2.31,2.8,3.91,4.01,0.833333333333333,26,18,3
Fake7,1,0,0,41,6,Accept|Reject,Reject,0,1,0,misinformation,single-choice,3.303,7,5,41,1,3,1,2.61,2.68,2.16,2.31,3.71,3.76,1.92,2.48,3.96,0.96,3.98,3.94,2.17,2.57,2.91,2.9,0.833333333333333,26,18,3
Fake8,1,0,0,42,7,Accept|Reject,Reject,0,1,0,misinformation,single-choice,14.731,7,5,41,1,3,1,2.53,2.71,2.21,2.25,3.49,3.29,2.14,2.35,3.95,0.95,3.9,4,2.18,2.97,3.12,2.69,0.833333333333333,26,18,3
Fake10,0,1,0,43,9,Accept|Reject,Reject,0,1,0,misinformation,single-choice,8.867,7,5,41,1,3,1,2.92,2.6,2.18,2.32,3.75,3.27,2.7,2.62,2.16,0.84,2.1,2.22,2.34,2.18,2.71,2.5,0.833333333333333,26,18,3
Fake11,0,1,0,44,10,Accept|Reject,Reject,0,1,0,misinformation,single-choice,9.57,7,5,41,1,3,1,2.81,2.38,2.23,2.29,3.32,2.73,2.43,2.09,1.95,1.05,1.88,2.02,2.49,2.2,2.47,2.08,0.833333333333333,26,18,3
Fake12,0,1,0,45,11,Accept|Reject,Reject,0,1,0,misinformation,single-choice,9.036,7,5,41,1,3,1,3.6,2.76,2.25,2.37,4.31,3.9,1.94,2.56,1.98,1.02,1.75,2.21,3.49,2.92,1.68,2.64,0.833333333333333,26,18,3
Fake13,0,1,0,46,12,Accept|Reject,Reject,0,1,0,misinformation,single-choice,7.583,7,5,41,1,3,1,2.45,2.3,2.2,2.42,3.49,3.22,2.85,2.55,2.18,0.82,2.04,2.32,2.34,2.14,2.85,2.67,0.833333333333333,26,18,3
Fake14,0,1,0,47,13,Accept|Reject,Reject,0,1,0,misinformation,single-choice,7.659,7,5,41,1,3,1,1.9,1.7,2.18,2.25,2.11,1.86,2.07,1.51,2.19,0.81,2.15,2.23,2.12,1.89,2.19,1.8,0.833333333333333,26,18,3
Fake15,0,1,0,48,14,Accept|Reject,Reject,0,1,0,misinformation,single-choice,5.7,7,5,41,1,3,1,2.81,2.37,2.19,2.27,3.5,3.31,1.79,1.68,2.09,0.92,2.08,2.09,2.33,2.16,2.43,2.58,0.833333333333333,26,18,3
Fake16,0,1,0,49,15,Accept|Reject,Reject,0,1,0,misinformation,single-choice,5.649,7,5,41,1,3,1,2.48,2.26,2.2,2.37,4.27,3.66,2.16,1.81,2.06,0.95,2.15,1.97,2.99,2.38,3.68,3.15,0.833333333333333,26,18,3
Fake17,0,1,0,50,16,Accept|Reject,Reject,0,1,0,misinformation,single-choice,12.424,7,5,41,1,3,1,2.18,1.83,2.3,2.16,3.38,2.73,2.76,1.95,2.15,0.85,2.28,2.03,2.53,1.94,3.4,2.13,0.833333333333333,26,18,3
Fake18,0,1,0,51,17,Accept|Reject,Reject,0,1,0,misinformation,single-choice,12.167,7,5,41,1,3,1,2.88,2.55,2.31,2.45,3.79,3.37,3.26,2.95,2.03,0.97,1.83,2.24,2.62,2.79,2.79,2.61,0.833333333333333,26,18,3
Real1,0,0,1,52,18,Accept|Reject,Accept,1,1,1,misinformation,single-choice,8.475,7,5,41,1,3,1,2.59,2.72,2.7,2.91,3.79,4.13,4.83,5.57,3.63,0.63,3.46,3.8,2.66,3.14,2.94,3.59,0.833333333333333,26,18,3
Real2,0,0,1,53,19,Accept|Reject,Accept,1,1,1,misinformation,single-choice,5.555,7,5,41,1,3,1,2.43,2.56,2.44,2.48,3.76,3.83,5.08,5.49,3.44,0.44,3.31,3.57,2.62,2.78,3.03,2.61,0.833333333333333,26,18,3
Real3,0,0,1,54,20,Accept|Reject,Accept,1,1,1,misinformation,single-choice,5.996,7,5,41,1,3,1,2.36,2.81,2.58,2.73,2.97,3.54,5.13,5.66,3.68,0.68,3.52,3.85,2.04,3.19,2.44,2.54,0.833333333333333,26,18,3
Real4,0,0,1,55,21,Accept|Reject,Reject,0,0,1,misinformation,single-choice,11.926,7,5,41,1,3,1,2.34,1.92,2.28,2.27,3.41,3.19,4.29,4.73,3.66,0.66,3.54,3.78,2.29,2.32,2.46,2.32,0.833333333333333,26,18,3
Real5,1,0,0,56,22,Accept|Reject,Accept,1,1,1,misinformation,single-choice,6.528,7,5,41,1,3,1,2.02,2.94,2.54,2.67,2.86,3.56,5.08,5.7,4.24,1.24,4.04,4.44,2.06,3.06,2.74,1.66,0.833333333333333,26,18,3
Real6,0,0,1,57,23,Accept|Reject,Accept,1,1,1,misinformation,single-choice,9.74,7,5,41,1,3,1,1.79,2.19,2.35,2.42,2.61,3.13,4.36,4.41,3.8,0.8,3.8,3.81,1.92,2.4,2.01,1.77,0.833333333333333,26,18,3
Real7,0,0,1,58,24,Accept|Reject,Accept,1,1,1,misinformation,single-choice,16.654,7,5,41,1,3,1,2.3,2.07,2.41,2.37,3.17,2.99,4.96,4.88,3.48,0.48,3.44,3.53,2.27,2.19,2.26,2.09,0.833333333333333,26,18,3
Real8,1,0,0,59,25,Accept|Reject,Accept,1,1,1,misinformation,single-choice,4.007,7,5,41,1,3,1,2.44,3.07,2.39,2.69,3.37,3.89,3.58,5.23,4.04,1.04,3.82,4.25,2.14,3.29,1.64,1.7,0.833333333333333,26,18,3
Real9,0,0,1,60,26,Accept|Reject,Accept,1,1,1,misinformation,single-choice,6.629,7,5,41,1,3,1,2.76,3.48,2.88,2.86,4.09,4.29,4.05,5.51,3.76,0.76,3.61,3.91,2.57,3.29,2.2,1.69,0.833333333333333,26,18,3
Real10,0,0,1,61,27,Accept|Reject,Accept,1,1,1,misinformation,single-choice,10.8,7,5,41,1,3,1,2.49,2.16,2.49,2.32,3.39,3.12,5.11,4.73,2.52,0.49,2.47,2.57,2.75,2.28,2.86,2.18,0.833333333333333,26,18,3
Real11,0,0,1,62,28,Accept|Reject,Accept,1,1,1,misinformation,single-choice,7.7,7,5,41,1,3,1,2.11,1.83,2.56,2.36,2.72,2.35,5.32,4.45,2.23,0.78,2.16,2.29,2.48,2.16,1.95,1.63,0.833333333333333,26,18,3
Real12,0,1,0,63,29,Accept|Reject,Accept,1,1,1,misinformation,single-choice,6.767,7,5,41,1,3,1,2.42,2.22,2.73,2.58,3.92,3.47,5.36,4.22,2.14,0.86,2.18,2.11,2.93,2.1,3.09,2.57,0.833333333333333,26,18,3
Real13,0,1,0,64,30,Accept|Reject,Accept,1,1,1,misinformation,single-choice,10.988,7,5,41,1,3,1,2.45,1.99,2.57,2.16,3.47,2.79,5.05,3.55,2,1,1.93,2.08,2.71,1.92,2.91,1.96,0.833333333333333,26,18,3
Real14,0,0,1,65,31,Accept|Reject,Accept,1,1,1,misinformation,single-choice,4.115,7,5,41,1,3,1,2.72,2.27,2.99,2.9,4.17,3.71,5.84,5.16,2.32,0.69,2.24,2.39,2.75,2.26,3.6,2.61,0.833333333333333,26,18,3
Real15,0,0,1,66,32,Accept|Reject,Accept,1,1,1,misinformation,single-choice,6.07,7,5,41,1,3,1,2.24,1.96,2.38,2.31,3.1,2.72,4.6,4.19,2.38,0.62,2.35,2.42,2.63,2.06,2.68,2.01,0.833333333333333,26,18,3
Real16,0,0,1,67,33,Accept|Reject,Accept,1,1,1,misinformation,single-choice,7.483,7,5,41,1,3,1,2.35,1.99,2.68,2.34,3.47,2.84,5.66,3.86,2.57,0.44,2.7,2.43,2.28,1.93,2.66,1.99,0.833333333333333,26,18,3
Real17,0,1,0,68,34,Accept|Reject,Accept,1,1,1,misinformation,single-choice,6.039,7,5,41,1,3,1,2.93,2.35,2.68,2.34,3.89,3.59,5.48,4.49,1.99,1.01,2.06,1.92,3.24,2.29,3.77,3.23,0.833333333333333,26,18,3
Real18,0,1,0,69,35,Accept|Reject,Accept,1,1,1,misinformation,single-choice,6.463,7,5,41,1,3,1,2.79,1.87,2.53,2.41,3.37,2.45,4.9,3.98,2.15,0.85,2.03,2.28,2.67,1.93,2.58,1.72,0.833333333333333,26,18,3
Fake1,1,0,0,70,0,Accept|Reject,Reject,0,1,0,misinformation,single-choice,8.29,10,4,22,1,6,2,2.9,2.93,2.19,2.29,3.97,3.83,2,2.76,3.86,0.86,3.96,3.75,2.41,2.97,3.42,3.65,0,38,23,5
Fake2,1,0,0,71,1,Accept|Reject,Accept,1,0,0,misinformation,single-choice,4.694,10,4,22,1,6,2,2.35,2.48,2.28,2.27,2.64,2.92,1.99,2.25,4.03,1.03,3.9,4.16,1.96,2.52,2.53,2.26,0,38,23,5
Fake3,1,0,0,72,2,Accept|Reject,Reject,0,1,0,misinformation,single-choice,10.413,10,4,22,1,6,2,2.91,3,2.19,2.35,4.21,4.03,1.9,2.2,3.83,0.83,3.91,3.75,2.55,2.9,3.68,3.82,0,38,23,5
Fake4,1,0,0,73,3,Accept|Reject,Accept,1,0,0,misinformation,single-choice,4.949,10,4,22,1,6,2,2.1,2.98,2.13,2.41,2.84,3.43,2,2.93,4.05,1.05,4.04,4.06,1.81,2.85,2.28,2.07,0,38,23,5
Fake5,1,0,0,74,4,Accept|Reject,Accept,1,0,0,misinformation,single-choice,10.869,10,4,22,1,6,2,2.23,2.83,2.47,2.57,3.37,3.71,1.9,2.75,3.93,0.93,3.97,3.9,2.11,2.96,2.2,2.61,0,38,23,5
Fake6,0,0,1,75,5,Accept|Reject,Reject,0,1,0,misinformation,single-choice,6.375,10,4,22,1,6,2,2.54,2.45,2.27,2.31,4.11,4.23,1.57,1.88,3.76,0.76,3.69,3.84,2.31,2.8,3.91,4.01,0,38,23,5
Fake7,1,0,0,76,6,Accept|Reject,Reject,0,1,0,misinformation,single-choice,11.555,10,4,22,1,6,2,2.61,2.68,2.16,2.31,3.71,3.76,1.92,2.48,3.96,0.96,3.98,3.94,2.17,2.57,2.91,2.9,0,38,23,5
Fake8,1,0,0,77,7,Accept|Reject,Accept,1,0,0,misinformation,single-choice,10.582,10,4,22,1,6,2,2.53,2.71,2.21,2.25,3.49,3.29,2.14,2.35,3.95,0.95,3.9,4,2.18,2.97,3.12,2.69,0,38,23,5
Fake10,0,1,0,78,9,Accept|Reject,Reject,0,1,0,misinformation,single-choice,10.481,10,4,22,1,6,2,2.92,2.6,2.18,2.32,3.75,3.27,2.7,2.62,2.16,0.84,2.1,2.22,2.34,2.18,2.71,2.5,0,38,23,5
Fake11,0,1,0,79,10,Accept|Reject,Reject,0,1,0,misinformation,single-choice,7.516,10,4,22,1,6,2,2.81,2.38,2.23,2.29,3.32,2.73,2.43,2.09,1.95,1.05,1.88,2.02,2.49,2.2,2.47,2.08,0,38,23,5
Fake12,0,1,0,80,11,Accept|Reject,Reject,0,1,0,misinformation,single-choice,8.979,10,4,22,1,6,2,3.6,2.76,2.25,2.37,4.31,3.9,1.94,2.56,1.98,1.02,1.75,2.21,3.49,2.92,1.68,2.64,0,38,23,5
Fake13,0,1,0,81,12,Accept|Reject,Reject,0,1,0,misinformation,single-choice,6.991,10,4,22,1,6,2,2.45,2.3,2.2,2.42,3.49,3.22,2.85,2.55,2.18,0.82,2.04,2.32,2.34,2.14,2.85,2.67,0,38,23,5
Fake14,0,1,0,82,13,Accept|Reject,Accept,1,0,0,misinformation,single-choice,3.295,10,4,22,1,6,2,1.9,1.7,2.18,2.25,2.11,1.86,2.07,1.51,2.19,0.81,2.15,2.23,2.12,1.89,2.19,1.8,0,38,23,5
Fake15,0,1,0,83,14,Accept|Reject,Accept,1,0,0,misinformation,single-choice,1.335,10,4,22,1,6,2,2.81,2.37,2.19,2.27,3.5,3.31,1.79,1.68,2.09,0.92,2.08,2.09,2.33,2.16,2.43,2.58,0,38,23,5
Fake16,0,1,0,84,15,Accept|Reject,Accept,1,0,0,misinformation,single-choice,10.459,10,4,22,1,6,2,2.48,2.26,2.2,2.37,4.27,3.66,2.16,1.81,2.06,0.95,2.15,1.97,2.99,2.38,3.68,3.15,0,38,23,5
Fake17,0,1,0,85,16,Accept|Reject,Reject,0,1,0,misinformation,single-choice,7.768,10,4,22,1,6,2,2.18,1.83,2.3,2.16,3.38,2.73,2.76,1.95,2.15,0.85,2.28,2.03,2.53,1.94,3.4,2.13,0,38,23,5
Fake18,0,1,0,86,17,Accept|Reject,Accept,1,0,0,misinformation,single-choice,3.869,10,4,22,1,6,2,2.88,2.55,2.31,2.45,3.79,3.37,3.26,2.95,2.03,0.97,1.83,2.24,2.62,2.79,2.79,2.61,0,38,23,5
Real1,0,0,1,87,18,Accept|Reject,Accept,1,1,1,misinformation,single-choice,102.552,10,4,22,1,6,2,2.59,2.72,2.7,2.91,3.79,4.13,4.83,5.57,3.63,0.63,3.46,3.8,2.66,3.14,2.94,3.59,0,38,23,5
Real2,0,0,1,88,19,Accept|Reject,Reject,0,0,1,misinformation,single-choice,2.29,10,4,22,1,6,2,2.43,2.56,2.44,2.48,3.76,3.83,5.08,5.49,3.44,0.44,3.31,3.57,2.62,2.78,3.03,2.61,0,38,23,5
Real3,0,0,1,89,20,Accept|Reject,Reject,0,0,1,misinformation,single-choice,5.4,10,4,22,1,6,2,2.36,2.81,2.58,2.73,2.97,3.54,5.13,5.66,3.68,0.68,3.52,3.85,2.04,3.19,2.44,2.54,0,38,23,5
Real4,0,0,1,90,21,Accept|Reject,Reject,0,0,1,misinformation,single-choice,2.65,10,4,22,1,6,2,2.34,1.92,2.28,2.27,3.41,3.19,4.29,4.73,3.66,0.66,3.54,3.78,2.29,2.32,2.46,2.32,0,38,23,5
Real5,1,0,0,91,22,Accept|Reject,Accept,1,1,1,misinformation,single-choice,6.576,10,4,22,1,6,2,2.02,2.94,2.54,2.67,2.86,3.56,5.08,5.7,4.24,1.24,4.04,4.44,2.06,3.06,2.74,1.66,0,38,23,5
Real6,0,0,1,92,23,Accept|Reject,Reject,0,0,1,misinformation,single-choice,3.772,10,4,22,1,6,2,1.79,2.19,2.35,2.42,2.61,3.13,4.36,4.41,3.8,0.8,3.8,3.81,1.92,2.4,2.01,1.77,0,38,23,5
Real7,0,0,1,93,24,Accept|Reject,Accept,1,1,1,misinformation,single-choice,8.452,10,4,22,1,6,2,2.3,2.07,2.41,2.37,3.17,2.99,4.96,4.88,3.48,0.48,3.44,3.53,2.27,2.19,2.26,2.09,0,38,23,5
Real8,1,0,0,94,25,Accept|Reject,Accept,1,1,1,misinformation,single-choice,5.73,10,4,22,1,6,2,2.44,3.07,2.39,2.69,3.37,3.89,3.58,5.23,4.04,1.04,3.82,4.25,2.14,3.29,1.64,1.7,0,38,23,5
Real9,0,0,1,95,26,Accept|Reject,Reject,0,0,1,misinformation,single-choice,5.83,10,4,22,1,6,2,2.76,3.48,2.88,2.86,4.09,4.29,4.05,5.51,3.76,0.76,3.61,3.91,2.57,3.29,2.2,1.69,0,38,23,5
Real10,0,0,1,96,27,Accept|Reject,Accept,1,1,1,misinformation,single-choice,1.757,10,4,22,1,6,2,2.49,2.16,2.49,2.32,3.39,3.12,5.11,4.73,2.52,0.49,2.47,2.57,2.75,2.28,2.86,2.18,0,38,23,5
Real11,0,0,1,97,28,Accept|Reject,Reject,0,0,1,misinformation,single-choice,20.769,10,4,22,1,6,2,2.11,1.83,2.56,2.36,2.72,2.35,5.32,4.45,2.23,0.78,2.16,2.29,2.48,2.16,1.95,1.63,0,38,23,5
Real12,0,1,0,98,29,Accept|Reject,Accept,1,1,1,misinformation,single-choice,6.984,10,4,22,1,6,2,2.42,2.22,2.73,2.58,3.92,3.47,5.36,4.22,2.14,0.86,2.18,2.11,2.93,2.1,3.09,2.57,0,38,23,5
Real13,0,1,0,99,30,Accept|Reject,Reject,0,0,1,misinformation,single-choice,13.546,10,4,22,1,6,2,2.45,1.99,2.57,2.16,3.47,2.79,5.05,3.55,2,1,1.93,2.08,2.71,1.92,2.91,1.96,0,38,23,5
Real14,0,0,1,100,31,Accept|Reject,Accept,1,1,1,misinformation,single-choice,2.459,10,4,22,1,6,2,2.72,2.27,2.99,2.9,4.17,3.71,5.84,5.16,2.32,0.69,2.24,2.39,2.75,2.26,3.6,2.61,0,38,23,5
