id,task,response,survey.age,survey.gender,survey.education,survey.political,survey.religious,country_code,Continent,sequence,choices,response_type,domain
14712,Loop,0,35,Women,College,0.5,0.5,US,Americas,0,0|1,single-choice,moral
14712,Switch,1,35,Women,College,0.5,0.5,US,Americas,0,0|1,single-choice,moral
14713,Footbridge,0,18,Men,College,1,0,NL,Europe,0,0|1,single-choice,moral
14713,Loop,1,18,Men,College,1,0,NL,Europe,0,0|1,single-choice,moral
14713,Switch,1,18,Men,College,1,0,NL,Europe,0,0|1,single-choice,moral
14714,Footbridge,0,20,Men,No College,0.5,0.5,ID,Asia,0,0|1,single-choice,moral
14714,Loop,1,20,Men,No College,0.5,0.5,ID,Asia,0,0|1,single-choice,moral
14714,Switch,1,20,Men,No College,0.5,0.5,ID,Asia,0,0|1,single-choice,moral
14715,Footbridge,0,52,Men,College,1,0.57,US,Americas,0,0|1,single-choice,moral
14715,Loop,0,52,Men,College,1,0.57,US,Americas,0,0|1,single-choice,moral
14715,Switch,0,52,Men,College,1,0.57,US,Americas,0,0|1,single-choice,moral
14716,Footbridge,1,39,Men,College,0.82,0.77,HU,Europe,0,0|1,single-choice,moral
14716,Loop,1,39,Men,College,0.82,0.77,HU,Europe,0,0|1,single-choice,moral
14716,Switch,1,39,Men,College,0.82,0.77,HU,Europe,0,0|1,single-choice,moral
14717,Footbridge,0,34,Men,College,0.66,0,NL,Europe,0,0|1,single-choice,moral
14717,Loop,0,34,Men,College,0.66,0,NL,Europe,0,0|1,single-choice,moral
14717,Switch,0,34,Men,College,0.66,0,NL,Europe,0,0|1,single-choice,moral
14718,Footbridge,1,47,Men,College,0.65,0.5,US,Americas,0,0|1,single-choice,moral
14718,Loop,0,47,Men,College,0.65,0.5,US,Americas,0,0|1,single-choice,moral
14718,Switch,1,47,Men,College,0.65,0.5,US,Americas,0,0|1,single-choice,moral
14719,Footbridge,1,31,Men,No College,0.58,0,CZ,Europe,0,0|1,single-choice,moral
14719,Loop,1,31,Men,No College,0.58,0,CZ,Europe,0,0|1,single-choice,moral
14719,Switch,1,31,Men,No College,0.58,0,CZ,Europe,0,0|1,single-choice,moral
14720,Footbridge,1,21,Men,No College,0.26,0.41,US,Americas,0,0|1,single-choice,moral
14720,Loop,1,21,Men,No College,0.26,0.41,US,Americas,0,0|1,single-choice,moral
14720,Switch,1,21,Men,No College,0.26,0.41,US,Americas,0,0|1,single-choice,moral
14721,Footbridge,1,28,Men,College,0.5,0.62,DE,Europe,0,0|1,single-choice,moral
14721,Loop,1,28,Men,College,0.5,0.62,DE,Europe,0,0|1,single-choice,moral
14721,Switch,1,28,Men,College,0.5,0.62,DE,Europe,0,0|1,single-choice,moral
14722,Footbridge,0,29,Women,College,0.82,0.26,US,Americas,0,0|1,single-choice,moral
14722,Footbridge,0,29,Men,College,0,0.79,US,Americas,0,0|1,single-choice,moral
14722,Footbridge,0,29,Men,College,0.98,0.71,US,Americas,0,0|1,single-choice,moral
14723,Footbridge,0,25,Men,No College,0.95,0,TR,Asia,0,0|1,single-choice,moral
14723,Loop,0,25,Men,No College,0.95,0,TR,Asia,0,0|1,single-choice,moral
14723,Switch,0,25,Men,No College,0.95,0,TR,Asia,0,0|1,single-choice,moral
14724,Footbridge,0,24,Men,College,0.74,0.06,FR,Europe,0,0|1,single-choice,moral
14724,Loop,0,24,Men,College,0.74,0.06,FR,Europe,0,0|1,single-choice,moral
14724,Switch,0,24,Men,College,0.74,0.06,FR,Europe,0,0|1,single-choice,moral
14725,Footbridge,1,19,Men,College,0.5,0,DE,Europe,0,0|1,single-choice,moral
14725,Loop,0,19,Men,College,0.5,0,DE,Europe,0,0|1,single-choice,moral
14725,Switch,1,19,Men,College,0.5,0,DE,Europe,0,0|1,single-choice,moral
14726,Footbridge,1,37,Men,No College,0.67,0.65,FR,Europe,0,0|1,single-choice,moral
